90-Day Content Calendar - Dr. Atul Madaan,,,,,,,,,,,,,,
Week,Theme,Date,Day,Channel,Format,Pillar,Topic,Hook (first line),Hashtags,CTA,Length,Post Window,Status,Notes
8,AuDHD: Autism + ADHD Overlap,,Wed+1,YouTube,Short,P3,"(Repurpose) Rocking, hand-flapping, spinning - why","Stimming behaviours - ye signal hai, problem nahi. Kya signal?",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Wed Reel. Loop ending into opening for replay boost.
8,AuDHD: Autism + ADHD Overlap,,Sat+1,YouTube,Short,P1,(Repurpose) Stimming in babies vs neurotypical babies,Baby flapping karta hai - ye stimming hai ya normal? Farak yahan.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Sat Reel. Loop ending into opening for replay boost.
9,"Sleep, Food, Daily Living",,Mon,Instagram,Reel,P1,M-CHAT screening explained,"M-CHAT - autism ka pehla screen. 20 sawaal, ghar pe bhi ho sakta hai.",#autism #autismindia #screening #earlydiagnosis #ludhiana,"Save. DM ""mchat"" for the form.",15–30 sec,8–10 AM IST,Planned,"Voiceover in Hindi, captions in English. Repurpose as YT Short Tue."
9,"Sleep, Food, Daily Living",,Tue,Instagram,Carousel,P2,Coordinating multiple therapies,"3 therapies, 1 bachha - schedule kaise banayein bina burn out kiye.",#autism #autismindia #autismparents #therapy #ludhiana,Save.,8–10 slides,7–9 PM IST,Planned,"Decision-tree style. Slide 1 = hook, slide 9 = CTA."
9,"Sleep, Food, Daily Living",,Wed,Instagram,Reel,P3,Hyperactivity vs autism overlap,"""Bachha hyperactive hai"" - ya autism hai? Dono ho sakte hain.",#autism #autismindia #adhd #autismparents #ludhiana,Save.,15–30 sec,8–10 AM IST,Planned,Pattern-interrupt opener. Repurpose as YT Short Thu.
9,"Sleep, Food, Daily Living",,Thu,Instagram,Reel,P5,Inclusive playgroups in India,"Inclusive playgroups - kahan milte hain, kaise shuru karein.",#autism #autismindia #autismparents #community #ludhiana,Save.,15–30 sec,7–9 PM IST,Planned,Practical/pathway content. Strong save signal.
9,"Sleep, Food, Daily Living",,Fri,Instagram,Carousel,P4,Eye contact - faking it tires,"""Eye contact karna padta hai"" - autistic adults ke liye ye effort hai.",#autism #autismadults #masking #adultautism #audhd,Save.,8–10 slides,7–9 PM IST,Planned,Late-recognised audience - highest-save pillar. 9 slides ideal.
9,"Sleep, Food, Daily Living",,Sat,Instagram,Reel,P3,Hyperactivity vs autism overlap,"""Bachha hyperactive hai"" - ya autism hai? Dono ho sakte hain.",#autism #autismindia #adhd #autismparents #ludhiana,Save.,15–30 sec,11 AM – 1 PM IST,Planned,Lighter / shareable. Repurpose as YT Short Sun.
9,"Sleep, Food, Daily Living",,Sat,YouTube,Long-form,P3,"Sleep, Eating, Daily Living - The Practical Autism Playbook",Roz ki challenges - sone se khane tak. Practical playbook.,-,Subscribe + save the playlist,6–12 min,Anytime,Planned,Anchor for Week 9.
9,"Sleep, Food, Daily Living",,Sun,Instagram,Reel,-,Week 9 Q&A - DM se aaye sabse common 3 sawaal,3 sawaal jo is hafte DM me sabse zyada aaye. Yahan jawaab.,#autism #autismindia #autismparents #qna #ludhiana,DM apna sawaal next week ke video ke liye.,30–45 sec,Afternoon,Planned,Conversational. Builds DM loop.
9,"Sleep, Food, Daily Living",,Mon+1,YouTube,Short,P1,(Repurpose) M-CHAT screening explained,"M-CHAT - autism ka pehla screen. 20 sawaal, ghar pe bhi ho sakta hai.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Mon Reel. Loop ending into opening for replay boost.
9,"Sleep, Food, Daily Living",,Wed+1,YouTube,Short,P3,(Repurpose) Hyperactivity vs autism overlap,"""Bachha hyperactive hai"" - ya autism hai? Dono ho sakte hain.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Wed Reel. Loop ending into opening for replay boost.
9,"Sleep, Food, Daily Living",,Sat+1,YouTube,Short,P3,(Repurpose) Hyperactivity vs autism overlap,"""Bachha hyperactive hai"" - ya autism hai? Dono ho sakte hain.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Sat Reel. Loop ending into opening for replay boost.
10,Sibling & Family Impact,,Mon,Instagram,Reel,P1,Imitation milestones - what to watch,Imitation ek aisi cheez hai jo autism me sabse pehle delay hoti hai.,#autism #autismindia #earlysigns #autismparents #ludhiana,Save. Send to a parent of a 1-year-old.,15–30 sec,8–10 AM IST,Planned,"Voiceover in Hindi, captions in English. Repurpose as YT Short Tue."
10,Sibling & Family Impact,,Tue,Instagram,Carousel,P2,When to step down therapy intensity,Therapy hamesha ke liye nahi. Step-down kab aur kaise.,#autism #autismindia #abatherapy #autismtherapy #ludhiana,Save.,8–10 slides,7–9 PM IST,Planned,"Decision-tree style. Slide 1 = hook, slide 9 = CTA."
10,Sibling & Family Impact,,Wed,Instagram,Reel,P3,Joint family pressure,"Dadi-Nani kehti hain ""kuch nahi hai bachhe me"" - yahan kya boliye.",#autism #autismindia #autismparents #ludhiana #drludhiana,Save. Share.,15–30 sec,8–10 AM IST,Planned,Pattern-interrupt opener. Repurpose as YT Short Thu.
10,Sibling & Family Impact,,Thu,Instagram,Reel,P5,Cost of therapy - realistic numbers,Autism therapy ka monthly cost India me - honest numbers.,#autism #autismindia #autismtherapy #autismparents #ludhiana,Save.,15–30 sec,7–9 PM IST,Planned,Practical/pathway content. Strong save signal.
10,Sibling & Family Impact,,Fri,Instagram,Carousel,P4,Why so many adults are realising now,2026 me adult autism diagnosis kyu badh raha hai? 3 reasons.,#autism #autismadults #latediagnosis #adultautism #neurodivergent,Save.,8–10 slides,7–9 PM IST,Planned,Late-recognised audience - highest-save pillar. 9 slides ideal.
10,Sibling & Family Impact,,Sat,Instagram,Reel,P1,Imitation milestones - what to watch,Imitation ek aisi cheez hai jo autism me sabse pehle delay hoti hai.,#autism #autismindia #earlysigns #autismparents #ludhiana,Save. Send to a parent of a 1-year-old.,15–30 sec,11 AM – 1 PM IST,Planned,Lighter / shareable. Repurpose as YT Short Sun.
10,Sibling & Family Impact,,Sat,YouTube,Long-form,P5,Siblings of Autistic Children - How to Support All of Them,Bhai-behen ka rishta autism ke saath. Real strategies.,-,Subscribe + save the playlist,6–12 min,Anytime,Planned,Anchor for Week 10.
10,Sibling & Family Impact,,Sun,Instagram,Reel,-,Week 10 Q&A - DM se aaye sabse common 3 sawaal,3 sawaal jo is hafte DM me sabse zyada aaye. Yahan jawaab.,#autism #autismindia #autismparents #qna #ludhiana,DM apna sawaal next week ke video ke liye.,30–45 sec,Afternoon,Planned,Conversational. Builds DM loop.
10,Sibling & Family Impact,,Mon+1,YouTube,Short,P1,(Repurpose) Imitation milestones - what to watch,Imitation ek aisi cheez hai jo autism me sabse pehle delay hoti hai.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Mon Reel. Loop ending into opening for replay boost.
10,Sibling & Family Impact,,Wed+1,YouTube,Short,P3,(Repurpose) Joint family pressure,"Dadi-Nani kehti hain ""kuch nahi hai bachhe me"" - yahan kya boliye.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Wed Reel. Loop ending into opening for replay boost.
10,Sibling & Family Impact,,Sat+1,YouTube,Short,P1,(Repurpose) Imitation milestones - what to watch,Imitation ek aisi cheez hai jo autism me sabse pehle delay hoti hai.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Sat Reel. Loop ending into opening for replay boost.
11,Masking & Burnout,,Mon,Instagram,Reel,P1,"""Look at the airplane"" test","""Dekho, airplane!"" - ye ek mini test hai jo har parent ghar par kar sakta hai.",#autism #autismindia #earlysigns #autismparents #ludhiana,Save. Share with a friend.,15–30 sec,8–10 AM IST,Planned,"Voiceover in Hindi, captions in English. Repurpose as YT Short Tue."
11,Masking & Burnout,,Tue,Instagram,Carousel,P2,Music therapy - science vs hype,"Music therapy - evidence kya kehti hai, hype kya hai.",#autism #autismindia #musictherapy #autismtherapy #ludhiana,Save.,8–10 slides,7–9 PM IST,Planned,"Decision-tree style. Slide 1 = hook, slide 9 = CTA."
11,Masking & Burnout,,Wed,Instagram,Reel,P3,Self-injurious behaviour - first response,"Bachha apne aap ko mar raha hai - kya karein, kya nahi.",#autism #autismindia #autismparents #sib #ludhiana,"Save. DM ""SIB"" for the clinical guide.",15–30 sec,8–10 AM IST,Planned,Pattern-interrupt opener. Repurpose as YT Short Thu.
11,Masking & Burnout,,Thu,Instagram,Reel,P5,Telehealth for autism - works?,"Telehealth therapy - kab kaam karta hai, kab nahi.",#autism #autismindia #telehealth #autismtherapy #ludhiana,Save.,15–30 sec,7–9 PM IST,Planned,Practical/pathway content. Strong save signal.
11,Masking & Burnout,,Fri,Instagram,Carousel,P4,Relationships and autism,Autistic adults aur rishte - communication ka asli kaam yahan hai.,#autism #autismadults #relationships #adultautism #audhd,Save.,8–10 slides,7–9 PM IST,Planned,Late-recognised audience - highest-save pillar. 9 slides ideal.
11,Masking & Burnout,,Sat,Instagram,Reel,P3,Self-injurious behaviour - first response,"Bachha apne aap ko mar raha hai - kya karein, kya nahi.",#autism #autismindia #autismparents #sib #ludhiana,"Save. DM ""SIB"" for the clinical guide.",15–30 sec,11 AM – 1 PM IST,Planned,Lighter / shareable. Repurpose as YT Short Sun.
11,Masking & Burnout,,Sat,YouTube,Long-form,P4,Masking and Burnout - Why Autistic Adults Hide,Masking ka cost. Burnout kaise pehchaane.,-,Subscribe + save the playlist,6–12 min,Anytime,Planned,Anchor for Week 11.
11,Masking & Burnout,,Sun,Instagram,Reel,-,Week 11 Q&A - DM se aaye sabse common 3 sawaal,3 sawaal jo is hafte DM me sabse zyada aaye. Yahan jawaab.,#autism #autismindia #autismparents #qna #ludhiana,DM apna sawaal next week ke video ke liye.,30–45 sec,Afternoon,Planned,Conversational. Builds DM loop.
11,Masking & Burnout,,Mon+1,YouTube,Short,P1,"(Repurpose) ""Look at the airplane"" test","""Dekho, airplane!"" - ye ek mini test hai jo har parent ghar par kar sakta hai.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Mon Reel. Loop ending into opening for replay boost.
11,Masking & Burnout,,Wed+1,YouTube,Short,P3,(Repurpose) Self-injurious behaviour - first response,"Bachha apne aap ko mar raha hai - kya karein, kya nahi.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Wed Reel. Loop ending into opening for replay boost.
11,Masking & Burnout,,Sat+1,YouTube,Short,P3,(Repurpose) Self-injurious behaviour - first response,"Bachha apne aap ko mar raha hai - kya karein, kya nahi.",#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Sat Reel. Loop ending into opening for replay boost.
12,What Now - 90-Day Recap & Forward,,Mon,Instagram,Reel,P1,Social smiling - when it should be there,6–8 weeks me bachha smile karta hai? Nahin to dekhein.,#autism #autismindia #earlysigns #autismparents #ludhiana,Save.,15–30 sec,8–10 AM IST,Planned,"Voiceover in Hindi, captions in English. Repurpose as YT Short Tue."
12,What Now - 90-Day Recap & Forward,,Tue,Instagram,Carousel,P2,Therapy at home vs at a centre,Therapy ghar par karwayein ya centre me? Honest comparison.,#autism #autismindia #autismtherapy #autismparents #ludhiana,Save.,8–10 slides,7–9 PM IST,Planned,"Decision-tree style. Slide 1 = hook, slide 9 = CTA."
12,What Now - 90-Day Recap & Forward,,Wed,Instagram,Reel,P3,Crowd anxiety at school assembly,School ki morning assembly - autistic bachhe ke liye kyu mushkil hai.,#autism #autismindia #school #autismparents #ludhiana,Save.,15–30 sec,8–10 AM IST,Planned,Pattern-interrupt opener. Repurpose as YT Short Thu.
12,What Now - 90-Day Recap & Forward,,Thu,Instagram,Reel,P5,Parent training programmes,Parent training programmes - bachhe se zyada effective ho sakte hain.,#autism #autismindia #autismparents #parenttraining #ludhiana,Save.,15–30 sec,7–9 PM IST,Planned,Practical/pathway content. Strong save signal.
12,What Now - 90-Day Recap & Forward,,Fri,Instagram,Carousel,P4,Career and autism - strengths to lean on,Autistic strengths jo career me kaam aate hain - 5 examples.,#autism #autismadults #career #adultautism #neurodivergent,Save.,8–10 slides,7–9 PM IST,Planned,Late-recognised audience - highest-save pillar. 9 slides ideal.
12,What Now - 90-Day Recap & Forward,,Sat,Instagram,Reel,P1,Social smiling - when it should be there,6–8 weeks me bachha smile karta hai? Nahin to dekhein.,#autism #autismindia #earlysigns #autismparents #ludhiana,Save.,15–30 sec,11 AM – 1 PM IST,Planned,Lighter / shareable. Repurpose as YT Short Sun.
12,What Now - 90-Day Recap & Forward,,Sat,YouTube,Long-form,P5,Your First 90 Days After an Autism Diagnosis - A Roadmap,"Diagnosis ke baad 90 din - exactly kya karein, kis order me.",-,Subscribe + save the playlist,6–12 min,Anytime,Planned,Anchor for Week 12. Recap of the quarter's themes.
12,What Now - 90-Day Recap & Forward,,Sun,Instagram,Reel,-,Week 12 Q&A - DM se aaye sabse common 3 sawaal,3 sawaal jo is hafte DM me sabse zyada aaye. Yahan jawaab.,#autism #autismindia #autismparents #qna #ludhiana,DM apna sawaal next week ke video ke liye.,30–45 sec,Afternoon,Planned,Conversational. Builds DM loop.
12,What Now - 90-Day Recap & Forward,,Mon+1,YouTube,Short,P1,(Repurpose) Social smiling - when it should be there,6–8 weeks me bachha smile karta hai? Nahin to dekhein.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Mon Reel. Loop ending into opening for replay boost.
12,What Now - 90-Day Recap & Forward,,Wed+1,YouTube,Short,P3,(Repurpose) Crowd anxiety at school assembly,School ki morning assembly - autistic bachhe ke liye kyu mushkil hai.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Wed Reel. Loop ending into opening for replay boost.
12,What Now - 90-Day Recap & Forward,,Sat+1,YouTube,Short,P1,(Repurpose) Social smiling - when it should be there,6–8 weeks me bachha smile karta hai? Nahin to dekhein.,#autism #autismindia #shorts #autismawareness,Full video pinned. Subscribe.,15–35 sec,Anytime,Planned,Repurposed from Sat Reel. Loop ending into opening for replay boost.
