ID,City,Page,Pillar,Series,Exact_Title,Exact_Hook,Core_Message,Speaker,Shooting_Location,Ideal_Duration,Shots,B_Roll,On_Screen_Text,CTA,Collaboration_Opportunity,Organic_Objective,Paid_Suitability,Clinical_Review_Flag,Repurposing_Opportunity
F-25,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Visual Timer: Ending Screen Time Peacefully,Visual Timer: Ending Screen Time Peacefully,TV band karte hi rona shuru? Sand timer aur visual countdown fix.,"Visual timers show time passing physically so transitions are predictable, not sudden shocks.",Special Educator,Faridabad Cabin,35s,Red visual disk timer counting down last 5 minutes,Gentle non-jarring chime ringing,Ending Screen Time Without Tantrums,DM 'TIMER' for visual tools guide,Mother's Pride FBD,Save-rate,High,Approved,Tool Reel
F-26,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Faridabad Preschool Teachers Workshop,Faridabad Preschool Teachers Workshop,Crown Plaza centre par hamara free teachers training symposium highlights.,Clip of 25 local Faridabad preschool teachers learning sensory classroom hacks.,Centre Coordinator,Crown Plaza Activity Hall,40s,"B-roll of educators taking notes, smiling, practicing swings",Dr. Atul Madaan lecturing on inclusive classrooms,Teacher Training | Faridabad Classrooms,Schools: Contact us for complimentary workshops,Apeejay / MVN,Institutional trust,High,Approved,School outreach
F-27,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Picky Eating: Food Chaining 1mm Rule,Picky Eating: Food Chaining 1mm Rule,Naya khana try karne ka 1 millimeter rule: Food chaining decoded.,Placing new food next to preferred food on plate without forcing child to eat it.,Pediatric OT,Faridabad Activity Room,40s,Plate with favorite french fry beside one tiny slice of baked potato,"Demonstrating smell, touch, lick, chew progression",Food Chaining | Gentle Nutrition,Save this food chaining blueprint,Sarvodaya Hospital,Save-rate,High,CLINICAL REVIEW REQUIRED,Feeding Demo
F-28,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Why We Involve Parents in Every Session,Why We Involve Parents in Every Session,Hamare therapy rooms me parents bahar wait nahi karte; andar seekhte hain.,Parent-mediated therapy: Watching the therapist equips parents to replicate wins at home.,Faridabad Senior OT,Crown Plaza Therapy Cabin,40s,Parent seated comfortably in session room smiling and observing,Therapist explaining prompt hierarchy to parent,Parents Are The Real Therapists,Visit Autism Alliance Faridabad,All Local Partners,Philosophy,High,Approved,Brand Reel
F-29,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Weighted Lap Pad for Homework Focus,Weighted Lap Pad for Homework Focus,Study table par baithte waqt restlessness kaise calm karein.,Placing a 1.5kg weighted bean lap pad on thighs grounds the proprioceptive system.,Senior OT,Faridabad Activity Room,35s,OT placing soft plush weighted lap pad across lap,Child posture steadying while sorting beads,Weighted Lap Pads | Study Focus,Save this homework regulation tool,St. Albans School,Save-rate,High,CLINICAL REVIEW REQUIRED,Tool Short
F-30,Faridabad,@autismalliance_faridabad,Faridabad Content Layer,Meet Our Faridabad Therapy Team,Meet Our Faridabad Therapy Team,LG-06 Crown Plaza Mall: Miliye hamare multidisciplinary team se.,"Warm, human introductions of our Clinical Psychologist, Occupational Therapist, and Speech Pathologist.",Faridabad Team,Crown Plaza Mall LG-06 Reception,45s,Each specialist smiling and sharing their 5-second clinical passion,Warm handshake and welcome to centre,Meet Your Faridabad Team | Crown Plaza,Book an appointment: +91 9810 578289,All Local Groups,Human connection,High,Approved,Pinned Profile Reel
L-01,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Before You Assume: Late Talker vs ASD,Before You Assume: Late Talker vs ASD,Before you assume bachha late talker hai... ye 3 social milestones observe kijiye.,"Words can lag, but shared joy, pointing, and name response separate speech delay from autism.",Dr. Atul Madaan,Consultation Studio,45s,"Dr. Atul direct to camera, calm clinical delivery",Split screen showing neurotypical pointing vs lack of joint gaze,Before You Assume | Speech Delay,Download 12-36M Observation Rubric,Kidsstoppress,Authority,High,CLINICAL REVIEW REQUIRED,YouTube Masterclass 1
L-02,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Kidsstoppress Podcast Feature Clip,Kidsstoppress Podcast Feature Clip,Why therapy should not become a full-time childhood: Dr. Atul on KSP.,Putting toddlers in 30 hours of tabletop clinic drills causes trauma; parent-mediated home play is superior.,Dr. Atul Madaan,Podcast Studio,45s,Podcast mic shot with Mansi Zaveri asking question,B-roll of parent and child laughing together in park,Kidsstoppress × Dr. Atul Madaan,Full 45-min podcast link in bio,Kidsstoppress,High prestige,High,Approved,Viral Reel
L-03,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Punjab Joint Family Advice & Denial,Punjab Joint Family Advice & Denial,Punjab de bujurg kehnde ne: 'Bada hoke aape bol pau' — Parivaar nu pyaar naal samjhao.,Addressing well-meaning denial in Punjab households; framing early therapy as skill empowerment.,Dr. Atul Madaan,Ludhiana Kochar Market Office,45s,Dr. Atul speaking dignified Hindi with warm Punjabi nuances,Traditional Punjab home setting artwork in background,Punjab Di Gal | Parivaar Da Darr,Visit Autism Alliance Ludhiana,Ludhiana Moms Club,Regional trust,High,CLINICAL REVIEW REQUIRED,Facebook Master Reel
L-04,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Dr. Kochar x Dr. Atul Clinical Talk,Dr. Kochar x Dr. Atul Clinical Talk,EEG karwayein ya Psychological Assessment? Developmental delay me sahi route.,EEG rules out clinical seizures; psychometric tools (CARS/ADOS) diagnose autism spectrum.,Dr. Atul Madaan,Ludhiana Clinic Desk,45s,Split screen dialogue between Dr. Atul and Dr. Gurpreet Singh Kochar,EEG trace sheet beside CARS-2 diagnostic assessment manual,Neurologist vs Psychologist | The Farak,Consultations available in Ludhiana & Delhi,Dr. Gurpreet Singh Kochar,Medical authority,High,CLINICAL REVIEW REQUIRED,Clinical Short
L-05,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Overcoming Maternal Guilt,Overcoming Maternal Guilt,"Doctor sahab, kya meri kisi galti ki wajah se mera bachha communicate nahi kar pa raha?",Autism is neurodevelopmental; bad parenting or working mother guilt is medically unfounded.,Dr. Atul Madaan,Studio Setup,45s,Close-up compassionate delivery,"Mother looking relieved, smiling with child",Stop Maternal Guilt | Dr. Atul Madaan,Share this with a fighting mother,Momspresso,Emotional resonance,Medium,Approved,Quote card
L-06,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Gestalt Language: Reciting Jingles,Gestalt Language: Reciting Jingles,Repeating movie dialogues isn't meaningless; it is Gestalt Language Processing.,Children process whole phrases before words; acknowledging scripts opens true communication pathways.,Dr. Atul Madaan,Studio Setup,45s,Dr. Atul pointing to visual language development pyramid,Text bubbles showing animated dialogue chunks,Gestalt Language Processing | Echolalia,Watch full 12-min YouTube masterclass,Parenting Aaj Kal,Search authority,High,CLINICAL REVIEW REQUIRED,YouTube Masterclass 5
L-07,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Sunday AMA: 3 Urgent Parent Queries,Sunday AMA: 3 Urgent Parent Queries,"Sunday Q&A: 3 questions on sensory overload, biting, and school admission.",Rapid-fire clinical wisdom resolving real parent doubts submitted via Instagram Stories.,Dr. Atul Madaan,Studio Setup,45s,Dr. Atul holding smartphone showing question sticker,Text overlay showing user questions,Sunday AMA with Dr. Atul Madaan,Drop your question for next Sunday,None,Community trust,Medium,CLINICAL REVIEW REQUIRED,Story highlight
L-08,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,The Virtual Autism Controversy,The Virtual Autism Controversy,Kya screen time ne mere bachhe ko autism diya? The medical truth.,Differentiating between environmental communication deprivation and lifelong neurodivergence.,Dr. Atul Madaan,Studio Setup,45s,"Dr. Atul direct to camera, measured scientific tone",Child looking at glowing phone screen vs looking at parent,Virtual Autism vs Clinical ASD,DM 'SCREENS' for replacement guide,Gunjan Talks,Authority,High,CLINICAL REVIEW REQUIRED,Podcast clip
L-09,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Sat Paul Mittal School Inclusion Talk,Sat Paul Mittal School Inclusion Talk,Ludhiana progressive schools me inclusive education model kaise lead ho raha hai.,Commending forward-thinking schools in Punjab for integrating sensory breaks and IEPs.,Dr. Atul Madaan,Sat Paul Mittal School Campus,40s,Dr. Atul standing in modern school library,School building exterior and happy inclusive classroom,Inclusive Punjab Classrooms | Sat Paul Mittal,Download our School Inclusion Toolkit,Sat Paul Mittal School,Institutional trust,High,Approved,School Reel
L-10,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Never Stop Stimming (Unless Injurious),Never Stop Stimming (Unless Injurious),Hand flapping aur spinning ko zabardasti rokna sabse badi clinical mistake kyu hai?,Stimming regulates an overloaded nervous system; extinguishing stims spikes acute panic.,Dr. Atul Madaan,Studio Setup,45s,"Dr. Atul with serious, protective clinical demeanor",Hands fluttering gently in joy; deep breathing cue,Respect Stimming | Coping Science,Share with educators and family members,The Ranveer Show,High save-rate,High,Approved,Reel / Short
L-11,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Gunjan Talks Video Feature Clip,Gunjan Talks Video Feature Clip,Why Indian clinics exploit parent fear: Dr. Atul Madaan on Gunjan Talks.,"Debunking false 30-day cure claims, hyperbaric oxygen scams, and expensive unproven diets.",Dr. Atul Madaan,Gunjan Talks Studio,45s,Podcast camera showing Dr. Atul and Gunjan Taneja,Warning symbol overlay against false cure claims,Beware of False Miracle Cures,Watch full Gunjan Talks episode on YouTube,Gunjan Talks,High prestige,High,Approved,Viral Short
L-12,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Ludhiana Heritage: 20 Years in Kochar Market,Ludhiana Heritage: 20 Years in Kochar Market,Ludhiana de 114 Green Field vich 20 saalan da trust: Hamari clinical roots.,Celebrating decades of guiding Punjab families through child development right in Kochar Market Road.,Dr. Atul Madaan,Kochar Market Road Exterior,45s,Dr. Atul walking through Ludhiana centre corridors,Old clinical photographs and milestones wall,20 Years of Autism Care | Ludhiana,Call Ludhiana clinic desk: +91 9646 443200,Ludhiana Ladies Circle,Regional dominance,High,Approved,Heritage Reel
L-13,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,The 18-Month M-CHAT Screening Score,The 18-Month M-CHAT Screening Score,M-CHAT score 3 se zyada aaya hai? Agle 48 ghante ka parent decision roadmap.,Explaining the Modified Checklist for Autism in Toddlers without inducing parental panic.,Dr. Atul Madaan,Studio Setup,40s,Dr. Atul holding official M-CHAT checklist sheet,Close-up of checkmark boxes on developmental rubric,M-CHAT Screening Score Decoded,Download our free developmental guide,Dr. Arpit Gupta,High utility,High,CLINICAL REVIEW REQUIRED,Lead magnet Reel
L-14,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,DMCH & CMCH Hospital Referral Partnerships,DMCH & CMCH Hospital Referral Partnerships,Ludhiana ke premier medical colleges se clinical coordination kaise hoti hai.,Collaborative pediatric care between hospital OPDs and Autism Alliance specialized therapy rooms.,Dr. Atul Madaan,Ludhiana Centre Suite,40s,Dr. Atul seated at consultation desk,DMCH hospital building exterior b-roll,Medical Coordination in Punjab | DMCH & CMC,Consultations available at Kochar Market,DMCH Pediatrics,Medical trust,Medium,Approved,Local clinical Reel
L-15,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Why Asking 'What Color Is This?' Fails,Why Asking 'What Color Is This?' Fails,Bachhe ka test lena band kijiye: Commentative play language formula.,"Replace testing questions with descriptive commentary (*'Look, a big blue car!'*) to trigger speech.",Dr. Atul Madaan,Studio Setup,40s,Dr. Atul holding toy car demonstrating language cue,Child face smiling without pressure,Stop Testing Your Toddler | Speech Science,Save this speech formula,Parenting Aaj Kal,Save-rate,High,Approved,Speech Short
L-16,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,The Ranveer Show (TRS) Hindi Clip,The Ranveer Show (TRS) Hindi Clip,What happens to the autistic brain in loud Indian cities: Dr. Atul on TRS.,Sensory processing differences and how sensory overload triggers fight-or-flight panic in urban life.,Dr. Atul Madaan,TRS Studio,45s,Podcast mic shot with dynamic studio lighting,Infographic overlay of sensory nervous system,The Sensory World | Dr. Atul Madaan on TRS,Full TRS episode link in bio,The Ranveer Show,Mega viral reach,High,Approved,Viral Short
L-17,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Parent-Mediated Therapy (PTP) Explained,Parent-Mediated Therapy (PTP) Explained,Parents are the real therapists. We professionals are just the facilitators.,Explaining Autism Alliance's foundational philosophy: Training parents to lead neuroplastic change.,Dr. Atul Madaan,Studio Setup,45s,Dr. Atul speaking with conviction and warmth,Mother and therapist giving high-five in sensory gym,Our Core Philosophy | Parent-Mediated Care,Learn about our Parent Training Program,All Partners,Brand core,High,Approved,Pinned Bio Video
L-18,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Toilet Training: The Hidden Interoceptive Sense,Toilet Training: The Hidden Interoceptive Sense,Bachha commode par baithta hai par potty nahi karta? Interoception explained.,Interoception is the internal bodily sense; children must learn to recognize bowel signals without anxiety.,Dr. Atul Madaan,Studio Setup,40s,Graphic showing the 8th sense: Interoception,Visual schedule bathroom routine card,Interoception | Toilet Training Science,Watch full YouTube Masterclass 7,None,Save-rate,High,CLINICAL REVIEW REQUIRED,YT Masterclass 7 Short
L-19,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,The Indian Father's Journey: Acceptance,The Indian Father's Journey: Acceptance,Fathers aksar silence me darr chupate hain: Ek psychologist ka direct message.,Moving past male societal denial and discovering the healing power of being present for your child.,Dr. Atul Madaan,Studio Setup,45s,"Dr. Atul speaking man-to-man, measured and deep",Father carrying child on shoulders in sunset park,A Message to Indian Fathers | Dr. Atul,Share with a father today,Varun Dhiman,Deep share,High,Approved,Fatherhood Reel
L-20,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Diet & Supplements: Sorting Fact from Fiction,Diet & Supplements: Sorting Fact from Fiction,"Gluten-free, casein-free diet se kya autism theek ho sakta hai? The science.","Diet can alleviate gut pain, but diet is not an autism cure; focus on evidence-based therapies.",Dr. Atul Madaan,Studio Setup,45s,Dr. Atul with clinical scientific rigor,Plate of healthy food beside scientific journal,Autism Diet Myths | Medical Reality,Save this evidence-based guide,Kavita Devgan,Authority,High,CLINICAL REVIEW REQUIRED,Clinical Short
L-21,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,What To Do When Grandparents Disagree,What To Do When Grandparents Disagree,Punjab de gharan vich bujurg kehnde ne: 'Sadde vele ta koi autism nahi si'.,Generational shift in diagnostic awareness; why explaining sensory differences creates family unity.,Dr. Atul Madaan,Ludhiana Office,45s,Dr. Atul speaking respectful Punjabi/Hindi,Warm portrait of grandfather holding grandchild,Generational Wisdom | Respectful Dialogues,Share in your family group,PBX Regional Media,Emotional reach,High,Approved,Family Reel
L-22,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,The 5-Year Roadmap: Building Independence,The 5-Year Roadmap: Building Independence,10 saal ke baad kya hoga? Shifting from deficit fixing to functional life skills.,"Teaching money navigation, community safety, cooking, and emotional autonomy for the future.",Dr. Atul Madaan,Studio Setup,45s,Dr. Atul outlining life skills hierarchy,Pre-teen child making independent choices,The Next 5 Years | Lifelong Independence,Watch full 15-min YouTube Masterclass 8,Raj Shamani,Visionary,High,Approved,YT Masterclass 8 Short
L-23,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Co-Regulation: Your Breathing Calms Their Brain,Co-Regulation: Your Breathing Calms Their Brain,Meltdown ke waqt chillana band kijiye: Mirror neurons and co-regulation.,Your calm nervous system is the anchor that pulls your child out of neurological panic.,Dr. Atul Madaan,Studio Setup,40s,"Dr. Atul inhaling slowly, showing calm breath",Parent holding child gently without talking,Co-Regulation | Mirror Neurons,Save this calming reminder,Little Fixes,High save-rate,High,Approved,Emotional Reel
L-24,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Can An Autistic Child Go to Mainstream School?,Can An Autistic Child Go to Mainstream School?,Kya mera autistic bachha normal regular school me padh sakta hai?,"Inclusive education works brilliantly when supported by IEPs, sensory accommodations, and trained teachers.",Dr. Atul Madaan,Studio Setup,45s,Dr. Atul speaking with encouragement and realism,Child sitting happily among neurotypical peers,Mainstream vs Special School | Decision Guide,Consult our special education team,Bluebells / Tagore,High demand,High,CLINICAL REVIEW REQUIRED,School Short
L-25,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,The Danger of 'Wait and Watch' After Age 2,The Danger of 'Wait and Watch' After Age 2,Doctor ne kaha 'wait kijiye 3 saal tak' — Kyu ye advice dangerous hai?,Waiting wastes peak toddler neuroplasticity; early developmental support should begin immediately.,Dr. Atul Madaan,Studio Setup,40s,Timeline graphic showing synaptic density 0 to 3 years,Clock ticking backwards animation,Stop Waiting | Neuroplasticity Window,Book an early screening session,Kidsstoppress,Urgency & Trust,High,CLINICAL REVIEW REQUIRED,Lead Reel
L-26,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Adult Autism: What Childhood Looked Like,Adult Autism: What Childhood Looked Like,Bade hokar autistic adults kya batate hain: Childhood memories of overwhelm.,Listening to neurodivergent adults teaches us how to support our toddlers without trauma.,Dr. Atul Madaan,Studio Setup,45s,Dr. Atul reflecting on clinical patient insights,Quote card from autistic adult advocate,Listening to Autistic Voices | Neurodiversity,Share for neurodiversity acceptance,Dr. Sid Warrier,Advocacy,High,Approved,Neurodiversity Reel
L-27,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,The National Trust Act & Legal Guardianship,The National Trust Act & Legal Guardianship,Indian parents legal guide: National Trust Act 1999 aur legal guardianship.,"Securing your child's legal, financial, and residential future in India through official trusts.",Dr. Atul Madaan,Studio Setup,45s,Dr. Atul holding legal gazette document,Legal seal and paperwork overview,Legal Planning | Special Needs India,Download our Legal & Financial Checklist,Shantanu Deshpande,High utility,High,Approved,Legal Guide
L-28,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Why Multi-Disciplinary Under One Roof Wins,Why Multi-Disciplinary Under One Roof Wins,"OT ke liye Saket, Speech ke liye Model Town: Fragmented therapy failure.","Why having clinical psychologists, OTs, and SLPs planning together in one room accelerates progress.",Dr. Atul Madaan,Consultation Suite,45s,Dr. Atul reviewing coordinated chart with therapy team,Three specialist signatures on single treatment plan,The Integrated Multi-Disciplinary Moat,"Visit Autism Alliance in Delhi, Faridabad, Ludhiana",All Partners,Conversion,High,Approved,Brand Moat Reel
L-29,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Sunday AMA: Biting and Aggression De-Escalation,Sunday AMA: Biting and Aggression De-Escalation,Sunday Q&A: Bachha gusse me kaatta ya maarta hai toh immediately kya karein?,Biting is communication of extreme sensory overload; identifying the ABC trigger before punishment.,Dr. Atul Madaan,Studio Setup,40s,Dr. Atul breaking down ABC behavior model,Text graphic: Antecedent -> Behavior -> Consequence,Biting & Meltdowns | The ABC Model,Drop your questions for next Sunday,None,Problem solving,High,CLINICAL REVIEW REQUIRED,Sunday Short
L-30,Ludhiana / National,@dratul_autismexpert,Dr. Atul Authority Layer,Dr. Atul's Direct Message to Every Fighting Parent,Dr. Atul's Direct Message to Every Fighting Parent,Aap akelay nahi hain: A 45-second message of hope and strength from Dr. Atul Madaan.,"Validating the exhausting daily love, resilience, and courage of Indian special needs families.",Dr. Atul Madaan,Studio Setup (Warm lighting),45s,"Dr. Atul looking directly into lens, speaking with heartfelt compassion",Warm cinematic smile and folded hands (*Namaste*),You Are Doing Enough | Dr. Atul Madaan,Follow @dratul_autismexpert for daily guidance,All Partners,Viral empathy,High,Approved,Hero Brand Video
