ID,Title,Pillar,Series,Audience,Concept,Exact_Hook,Character_Used,Supporting_Characters,Setting,Conflict_Question,Educational_Point,Dialogue_Summary,Duration,Scene_Count,CTA,Clinical_Review_Required,Visual_Complexity,Production_Difficulty,AI_Generation_Difficulty,Paid_Eligible,YouTube_Shorts_Fit,Instagram_Fit,Facebook_Fit
GD-R049,The Bolster Swing Rodeo,P9: THERAPY ROOM ADVENTURES,Gappu & Dolly: Connect,Prospective Therapy Parents,Inside the sensory gym: Vestibular swinging explained.,Why does our therapist rock Kabir on this giant padded log?,Gappu & Dolly,"Therapist Diya, Kabir",Autism Alliance Sensory Gym,Parents wondering why they pay for therapy if the child is 'just swinging on a playground toy'.,"Controlled vestibular swinging trains inner-ear fluid receptors, regulating balance, alertness, and speech focus.",Therapist Diya explains vestibular science; Gappu rides happily behind Kabir as Dolly leaps through bubbles.,32s,5,Book a sensory gym walkthrough,CLINICAL REVIEW REQUIRED,Medium,Medium,Medium,Yes,Yes,Yes,Yes
GD-R050,The Bubble Wand Magic Pause,P9: THERAPY ROOM ADVENTURES,Gappu & Dolly: Connect,Speech Therapy Parents,Inside speech therapy: Building anticipatory joint communication.,Soap bubbles aren't just bubbles... they are communication invitations!,Gappu & Dolly,"Therapist Rahul, Kabir",Speech Therapy Cabin,Parents expecting flashcard drills; wondering why speech therapist is blowing soap bubbles.,"Waiting for the child to look or gesture before blowing creates intentional, reciprocal motivation.","Therapist Rahul dips wand, waits with a smile... Kabir looks up and says 'Pop!'. Joyful victory!",30s,4,Try the bubble pause at home today,CLINICAL REVIEW REQUIRED,Medium,Medium,Low,Yes,Yes,Yes,Yes
GD-R051,The Texture Farm Sensory Bin,P9: THERAPY ROOM ADVENTURES,Gappu & Dolly: Connect,Parents,Inside OT: Desensitizing tactile defensiveness with dry pulses.,Dipping hands in dried rajma and rice: Why this mess builds strong brains!,Gappu & Dolly,"Therapist Diya, Kabir",Activity Room Table,Parent horrified that child gets dirty or plays with dry lentils in clinic.,"Dry pulse bins desensitize sensitive hand nerves, making handwriting grip and food textures painless.","Gappu hides a small plastic cow in the rajma; Kabir digs happily and finds it, laughing.",28s,4,DIY kitchen sensory bin recipes in bio,Approved,Low,Low,Low,Yes,Yes,Yes,Yes
GD-R052,The Tiptoe Balance Beam,P9: THERAPY ROOM ADVENTURES,Gappu & Dolly: Connect,Parents of Toe-Walkers,Inside physical therapy: Addressing toe-walking.,Why walking on squishy foam beams helps toe-walking toddlers.,Gappu & Dolly,"Therapist Diya, Kabir",Sensory Gym Floor,"Parents repeatedly scolding child: 'Heels down, seedha chalo!'.",Toe-walking is often sensory seeking or calf tightness; tactile squishy beams encourage heel-strike naturally.,Gappu walks like a stomping elephant; Kabir copies him across textured sensory footprints.,30s,4,Toe walking needs OT evaluation first,CLINICAL REVIEW REQUIRED,Medium,Medium,Low,Yes,Yes,Yes,Yes
GD-R053,The Mirror Mimic Game,P9: THERAPY ROOM ADVENTURES,Gappu & Dolly: Connect,Speech Parents,Inside speech therapy: Oral motor imitation and facial awareness.,Making silly faces in a giant mirror: Serious speech science!,Gappu & Dolly,"Therapist Rahul, Kabir",Speech Mirror Cabin,Wondering how puffing cheeks and blowing feathers leads to speaking words.,"Oral motor control, tongue elevation, and lip closure must precede clear articulation.",Gappu wiggles his trunk; Rahul puffs his cheeks; Kabir bursts into giggles and pops Rahul's cheek.,28s,4,Play mirror mimic games at home,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R054,The Parent Training Room Reveal,P9: THERAPY ROOM ADVENTURES,Gappu & Dolly: Connect,New Families,Inside Autism Alliance: Where parents learn to be the real therapists.,Why Autism Alliance centres have cozy parent training lounges.,Gappu & Dolly,"Dr. Atul Madaan, Maa & Papa",Parent Training Lounge,Wondering what makes the Autism Alliance 3-Month Model unique across India.,"Therapy works 10x faster when parents are trained as confident, empowered co-therapists.",Dr. Atul hands parent workbook to smiling mother; Gappu and Dolly give high-fives to parents.,32s,4,Learn about our Parent Training Program,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R055,The First Real High-Five,P10: PARENTS FIRST STORIES,Gappu & Dolly: Connect,All Families,An emotional breakthrough moment between father and son.,"6 months of patience... for one single, glorious high-five.",Gappu & Dolly,"Papa, Kabir",Living Room,Father feeling disconnected because son didn't respond to traditional greetings.,"Connection is built through patient, consistent micro-rituals over months.","Papa raises his palm gently every day without pressure. One evening, Kabir smiles and slaps his palm! Tears of joy.",35s,5,Never give up on your connection,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R056,The Quiet Park Sunday,P10: PARENTS FIRST STORIES,Gappu & Dolly: Connect,Special Needs Families,Finding peace outside crowded social expectations.,We skipped the loud family wedding... and had the most peaceful Sunday of our lives.,Gappu & Dolly,"Maa, Papa, Kabir",Shady Green Park,Guilt over declining crowded social functions where child gets overwhelmed.,Protecting your child's emotional regulation is 100x more important than pleasing distant relatives.,"Family sits under a banyan tree, blowing bubbles and eating sandwiches in peaceful harmony.",32s,4,Protect your family sanctuary without guilt,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R057,Dadi Becomes The Secret Speech Hero,P10: PARENTS FIRST STORIES,Gappu & Dolly: Connect,Joint Families,Transforming grandparents into the best home co-therapists.,How grandmother's bedtime story rituals unlocked Kabir's first words.,Gappu & Dolly,"Dadi, Kabir",Grandmother's Room,Grandparents feeling helpless or excluded from clinical therapy plans.,"Slow, rhythmic traditional storytelling with expressive pauses stimulates auditory language beautifully.","Dadi points to picture book, pauses dramatically... Kabir fills in the animal sound! Dadi hugs him proudly.",35s,5,Grandparents are therapy champions,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R058,A Father Steps Up,P10: PARENTS FIRST STORIES,Gappu & Dolly: Connect,Fathers,A father breaking male stoicism and becoming the rough-and-tumble therapist.,Indian fathers: Earning money isn't enough. Your child needs your physical presence.,Gappu & Dolly,"Papa, Kabir",Living Room Rug,Fathers retreating into office work because they don't know how to handle therapy drills.,Father-child rough play provides essential proprioceptive regulation and deep emotional bonding.,Papa builds an indoor pillow fort and tackles Kabir with gentle bear hugs; both roar with laughter.,32s,4,Fathers: Step onto the playroom floor,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R059,The Siblings Bond,P10: PARENTS FIRST STORIES,Gappu & Dolly: Connect,Families with Multiple Kids,Preventing Glass Child syndrome and nurturing sibling love.,How an older sister discovered her little brother's silent love language.,Gappu & Dolly,"Older Sister, Kabir",Kids Bedroom,Older sibling feeling overlooked because special needs brother demands so much attention.,1-on-1 parent dates and teaching siblings unique play styles creates unbreakable lifelong bonds.,Sister builds a marble run; Kabir watches mesmerized and hands her the next blue marble with a smile.,32s,5,Support the siblings who walk this journey,Approved,Medium,Low,Low,Yes,Yes,Yes,Yes
GD-R060,The Autism Alliance Creed,P10: PARENTS FIRST STORIES,Gappu & Dolly: Connect,Pan-India Audience,Flagship brand anthem: Parents are the real therapists.,They understand. They feel. They connect. Welcome to the Autism Alliance Family.,Gappu & Dolly,All Characters,Centre & Global Landscape,The universal struggle for acceptance and high-quality early childhood intervention.,"Autism Alliance stands with every parent across Delhi, Faridabad, Ludhiana, and India.","Gappu and Dolly stand proudly with children, therapists, and parents. 'Parents First. Always.'",40s,6,Follow @dratul_autismexpert & join our family,Approved,High,High,High,Yes,Yes,Yes,Yes
