Date,Week,Day,Platform,Format,Content ID,Pillar,Series,Topic,Exact Hook,Speaker,Centre,City,Language,Goal,Funnel Stage,Duration,Primary CTA,Secondary CTA,Required Shots,B-Roll,Collaboration,Organic Test,Paid Eligible,Repurpose Source,Status,Notes
Day 35 (Sun),Week 5,Sunday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-035,P10: Parent Questions & Q&A,AA | Sunday Q&A,Sunday Q&A: 'My Child Hates Haircuts and Nail Clipping',Tactile sensory defensiveness: Haircut aur nail cutting ke rone ko bina trauma manage kaise karein.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,41 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 5 execution.
Day 36 (Mon),Week 6,Monday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-036,P8: Parent Training Program,AA | Therapist Shows,Classroom Inclusion: 3 Things Teachers in Delhi NCR Must Know,Tagore International aur Apeejay jaise schools ke teachers ke liye: Inclusive classroom micro-adjustments.,Senior Occupational Therapist,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,35 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 6 execution.
Day 37 (Tue),Week 6,Tuesday,"Instagram, Facebook",Carousel,AA-PUB-037,P8: Parent Training Program,AA | Dr. Atul Explains,Sensory Diet at Home: Morning to Night Visual Routine,Subah uthne se lekar raat ko sone tak: Sensory diet schedule for a regulated child.,Autism Alliance Clinical Team,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,9 Slides Carousel,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 6 execution.
Day 38 (Wed),Week 6,Wednesday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-038,P2: Parent Asked. Therapist Shows.,AA | 30 Sec Parents,Sound Sensitivity (Hyperacusis): Pressure Cooker & Mixer Phobia,Mixer ya pressure cooker ki seeti sun kar bachha kaan band karta hai? Desensitization step-by-step.,Speech Therapist,Ludhiana,Ludhiana,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,32 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Ludhiana.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Ludhiana Batch Filming,Planned,Scheduled for Week 6 execution.
Day 39 (Thu),Week 6,Thursday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-039,P1: Dr. Atul Explains,AA | NCR Hub,Why Eye Contact Shouldn't Be the #1 Goal,Eye contact se pehle joint attention aur emotional connection seekhna kyun zaroori hai.,Dr. Atul Madaan,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,33 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 6 execution.
Day 40 (Fri),Week 6,Friday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-040,P9: Autism Alliance NCR,AA | One Activity,Faridabad Centre Parent Walkthrough: What to Bring on Day 1,Crown Plaza Faridabad me pehli consultation: Kaunse medical documents aur video clips lekar aana chahiye.,Special Educator & OT,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,31 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 6 execution.
Day 41 (Sat),Week 6,Saturday,YouTube (Long-Form) + IG/FB Cut,YouTube Long-Form + Promo Reel,AA-PUB-041,P1: Dr. Atul Explains,AA | Inside Centre,"YT Masterclass 6: Meltdowns, Aggression & Emotional Regulation",YT: 'How to Calm an Autistic Child During Severe Sensory Meltdowns Without Shouting or Restraint'.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,14:10 min,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 6 execution.
Day 42 (Sun),Week 6,Sunday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-042,P10: Parent Questions & Q&A,AA | Sunday Q&A,Sunday Q&A: 'What If My In-Laws Don't Accept the Diagnosis?',Indian family dynamics me diagnosis accept karwana: Dr. Atul's compassionate psychological advice.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,45 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 6 execution.
Day 43 (Mon),Week 7,Monday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-043,P9: Autism Alliance NCR,AA | Therapist Shows,Collaboration: South Delhi Mom Influencer × Autism Alliance,"South Delhi mom asks Dr. Atul: 'Pre-school me teacher ne concern raise kiya, ab main kya karoon?'",Senior Occupational Therapist,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,39 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 7 execution.
Day 44 (Tue),Week 7,Tuesday,"Instagram, Facebook",Carousel,AA-PUB-044,P2: Parent Asked. Therapist Shows.,AA | Dr. Atul Explains,Speech Therapy Toys You Don't Need to Buy: Kitchen Utensils,"Expensive toys khareedne ki zaroorat nahi: Steel katori, spoon aur dabba se language stimulation.",Autism Alliance Clinical Team,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,8 Slides Carousel,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 7 execution.
Day 45 (Wed),Week 7,Wednesday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-045,P1: Dr. Atul Explains,AA | 30 Sec Parents,Toilet Training in Autism: The Sensory Obstacles,"Toilet training failure ka reason stubbornness nahi, porcelain ki thandak aur flush ki awaaz ho sakti hai.",Dr. Atul Madaan,Ludhiana,Ludhiana,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,35 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Ludhiana.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Ludhiana Batch Filming,Planned,Scheduled for Week 7 execution.
Day 46 (Thu),Week 7,Thursday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-046,P2: Parent Asked. Therapist Shows.,AA | NCR Hub,Mirror Play for Social Communication & Imitation,Mirror ke saamne baith kar imitation skills aur facial expressions sikhane ki live OT technique.,Centre Lead Faridabad,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,29 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 7 execution.
Day 47 (Fri),Week 7,Friday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-047,P6: Inside Autism Alliance,AA | One Activity,East of Kailash Centre: Meet Our Senior Clinical Psychologist,Delhi centre me Dr. Atul Madaan aur clinical team ka diagnosis aur therapy planning protocol.,Special Educator & OT,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,33 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 7 execution.
Day 48 (Sat),Week 7,Saturday,YouTube (Long-Form) + IG/FB Cut,YouTube Long-Form + Promo Reel,AA-PUB-048,P8: Parent Training Program,AA | Inside Centre,YT Masterclass 7: Toilet Training & Daily Living Skills for Neurodivergent Kids,YT: 'Step-by-Step Autism Toilet Training Guide: Overcoming Sensory Fears & Building Independence'.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,12:50 min,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 7 execution.
Day 49 (Sun),Week 7,Sunday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-049,P10: Parent Questions & Q&A,AA | Sunday Q&A,Sunday Q&A: 'Is Mild Autism Reversible?',Clinical clarification: 'Mild autism' term kya hai aur early intervention se outcomes kaise maximize hote hain.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,43 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 7 execution.
Day 50 (Mon),Week 8,Monday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-050,P1: Dr. Atul Explains,AA | Therapist Shows,AuDHD: When Autism & ADHD Co-Exist in Children,Hyperactivity aur autism ek sath? AuDHD symptoms ko decode karte hain Dr. Atul Madaan.,Dr. Atul Madaan,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,36 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 8 execution.
Day 51 (Tue),Week 8,Tuesday,"Instagram, Facebook",Carousel,AA-PUB-051,P8: Parent Training Program,AA | Dr. Atul Explains,First Consultation Checklist: 7 Questions to Ask Your Therapy Centre,Kisi bhi centre par jaane se pehle ye 7 sawaal zaroor puchein RCI registration aur methodology ke baare me.,Autism Alliance Clinical Team,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,8 Slides Carousel,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 8 execution.
Day 52 (Wed),Week 8,Wednesday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-052,P2: Parent Asked. Therapist Shows.,AA | 30 Sec Parents,Proprioceptive Heavy Work: Animal Walks in the Living Room,"Bear walk, crab walk, frog jump: Restless body ko calm karne ke 3 heavy work exercises.",Speech Therapist,Ludhiana,Ludhiana,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,30 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Ludhiana.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Ludhiana Batch Filming,Planned,Scheduled for Week 8 execution.
Day 53 (Thu),Week 8,Thursday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-053,P1: Dr. Atul Explains,AA | NCR Hub,Masking in Girls: Why Girls Are Diagnosed Later in India,Ladkiyon me autism late kyu pakad me aata hai? Social masking aur mimicking ki reality.,Dr. Atul Madaan,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,35 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 8 execution.
Day 54 (Fri),Week 8,Friday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-054,P9: Autism Alliance NCR,AA | One Activity,Inside Crown Plaza Faridabad: The Parent Waiting Experience,Parents wait karte waqt PTP modules aur home plan kaise discuss karte hain hamare centre par.,Special Educator & OT,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,32 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 8 execution.
Day 55 (Sat),Week 8,Saturday,YouTube (Long-Form) + IG/FB Cut,YouTube Long-Form + Promo Reel,AA-PUB-055,P1: Dr. Atul Explains,AA | Inside Centre,YT Masterclass 8: The Next 5 Years: Planning Your Child's Future & Independence,YT: 'From Therapy to Lifelong Independence: Long-Term Roadmap for Children on the Autism Spectrum'.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,15:20 min,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 8 execution.
Day 56 (Sun),Week 8,Sunday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-056,P10: Parent Questions & Q&A,AA | Sunday Q&A,Sunday Q&A: '60 Days of Parent Questions: What We Learned',Celebrating 60 days of parent empowerment: Sabse bada lesson jo har Indian family ko yaad rakhna chahiye.,Dr. Atul Madaan,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,45 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 8 execution.
Day 57 (Mon),Week 9,Monday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-057,P9: Autism Alliance NCR,AA | Therapist Shows,Autism Alliance NCR: Delhi & Faridabad Consultation Walk-In Guide,Delhi EOK aur Faridabad Sector 15A: How to book your comprehensive developmental evaluation.,Senior Occupational Therapist,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,34 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 9 execution.
Day 58 (Tue),Week 9,Tuesday,"Instagram, Facebook",Carousel,AA-PUB-058,P8: Parent Training Program,AA | Dr. Atul Explains,The 60-Day Transformation: Parents Becoming Co-Therapists,"Real parent testimonials (audio & quotes): 'Mujhe laga tha main akela hoon, ab mere paas plan hai.'",Autism Alliance Clinical Team,Delhi EOK,Delhi,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,8 Slides Carousel,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Delhi EOK.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Delhi EOK Batch Filming,Planned,Scheduled for Week 9 execution.
Day 59 (Wed),Week 9,Wednesday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-059,P6: Inside Autism Alliance,AA | 30 Sec Parents,Therapist Hands BTS: Celebrating Micro-Milestones Every Day,"Ek word, ek point, ek smile: Autism Alliance centres me hum har choti jeet celebrate karte hain.",Speech Therapist,Ludhiana,Ludhiana,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,30 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Ludhiana.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Ludhiana Batch Filming,Planned,Scheduled for Week 9 execution.
Day 60 (Thu),Week 9,Thursday,"Instagram, YouTube, Facebook",Reel / Short,AA-PUB-060,P1: Dr. Atul Explains,AA | NCR Hub,Dr. Atul's Closing Promise: We Walk This Journey Together,Dr. Atul Madaan: 'Aap akele nahi hain. Autism Alliance aapke bachhe ke har step par aapke sath hai.',Dr. Atul Madaan,Faridabad,Faridabad,Hindi/Hinglish,"Reach, Education & Local Trust",Discovery to Conversion,40 sec,Save this post and DM 'CONNECT' to speak with our clinical intake team.,"Visit Autism Alliance in East of Kailash, Faridabad, or Ludhiana.",Close-up eye contact + therapist hands-on demo.,Authentic activity B-roll filmed at Autism Alliance Faridabad.,Local NCR parenting page / school partner where applicable,Yes (Track 24h metrics),Yes (If shares/reach > 3.0%),Faridabad Batch Filming,Planned,Scheduled for Week 9 execution.
