Date,Format,Topic,Exact_Title,Hook,Presenter,Duration,Search_Intent,Primary_Keyword,Thumbnail_Text,CTA,Shorts_Extracted,Related_Long_Video,Clinical_Review,Status
2026-11-01,YouTube Live (Parent Interactive Q&A),Live Parent Clinic & Consultation,"Live Sunday Clinic: Ask Dr. Atul Madaan Anything on Speech, Behavior & Meltdowns (Live Q&A Ep 8)",Aaj sham 5 baje live judein aur apne bachhe ke behavioral challenges par seedha consult karein.,Dr. Atul Madaan,55:00,High (Community / Live),autism live question answer,LIVE Q&A with Dr. Atul,Ask your question in Live Chat / Super Chat,Live Clips 1 & 2,Self (Anchor),Approved,Scheduled
2026-11-02,YouTube Short (Gappu & Dolly Animated),Animated Empathy: Speech Delay vs Autism,Gappu Ko Mixer Ki Awaaz Itni Loud Kyun Lagi? #GappuDolly #speechdelayvsautisminhindi,"Dolly, jab mixer chalti hai toh Kabir kaan kyu band kar leta hai?",Gappu & Dolly (Animated),0:35,High (Discovery),speech delay vs autism in hindi,Mixer Se Darr Kyu?,Watch full video linked below,N/A (Native),Speech Delay vs Autism: Farak Kaise Pehchaanein? | Clinical Guide,Approved,Scheduled
2026-11-03,YouTube Short (Tactical Doctor/Therapist),Quick Insight: Speech Delay vs Autism,Speech Delay vs Autism: 1 Simple Observation Jo 90% Parents Miss Karte Hain! #Shorts,"Agar aapka 2 saal ka bachha bolta nahi hai, toh sabse pehle ye ek cheez check kijiye...",Dr. Atul Madaan,0:42,High (Shorts Feed),speech delay vs autism in hindi,Missed Sign!,Full explanation in linked video,Extracted from Long-Form,Speech Delay vs Autism: Farak Kaise Pehchaanein? | Clinical Guide,Approved,Scheduled
2026-11-04,Long-Form Video (Masterclass),Speech Delay vs Autism: Farak Kaise Pehchaanein? | Clinical Guide,Speech Delay vs Autism: Farak Kaise Pehchaanein? | Clinical Guide | Complete Guide by Dr. Atul Madaan,"Agar aapka 2-3 saal ka bachha bol nahi raha, toh kya ye autism hai ya isolated speech delay?",Dr. Atul Madaan,14:20,High (Search),speech delay vs autism in hindi,Speech Delay Ya Autism?,Download free 12-36M Parent Rubric,"Short-01, Short-02, Short-03",Self (Anchor),Approved,Scheduled
2026-11-05,YouTube Short (Parent Q&A),Parent FAQ: ABA vs OT vs Speech Therapy,Kya Hand Flapping Ko Rokna Chahiye? Doctor Explains #Shorts #AutismIndia,"Parent ne pucha: 'Sir, mera beta khushi me hath hilata hai, kya ye normal hai?'",Dr. Atul Madaan,0:38,Medium (Shorts),hand flapping in autism,Stop Flapping?,Subscribe & watch related masterclass,Extracted from Long-Form,ABA vs OT vs Speech Therapy: Kaunsi Therapy Kab Shuru Karein?,Approved,Scheduled
2026-11-06,YouTube Short (Therapist Demonstration),Sensory Gym / OT Demonstration,Inside Our East of Kailash Sensory Gym: Swings Therapy Kyu Hoti Hain? #Shorts,Ye platform swing playground ka jhoola nahi hai... ye inner ear balance exercise hai!,Lead Occupational Therapist (Autism Alliance),0:45,High (Visual),occupational therapy sensory gym,Sensory Gym Secret,"Visit Delhi, Faridabad, Ludhiana centres",Native Clinic Shoot,ABA vs OT vs Speech Therapy: Kaunsi Therapy Kab Shuru Karein?,Approved,Scheduled
2026-11-07,Long-Form Video (Clinical Deep Dive),ABA vs OT vs Speech Therapy: Kaunsi Therapy Kab Shuru Karein?,ABA vs OT vs Speech Therapy: Kaunsi Therapy Kab Shuru Karein? | Autism Alliance India,Diagnosis ke baad 3 alag therapies sunne ko milti hain: Kaunsi pehle start karein?,Dr. Atul Madaan & Senior OT,16:45,High (Search),autism therapy types india,Which Therapy First?,Book integrated consultation at Autism Alliance,"Short-04, Short-05, Short-06",Self (Anchor),Approved,Scheduled
2026-11-08,YouTube Short (Sunday Parent Empathy),Parent Motivation & Emotional Reassurance,To The Mother Comparing Growth Charts at the Park... Listen To This #Shorts #AutismParenting,Park me dusre bachhon ko dekh kar agar aapka dil baith jaata hai... toh ek gehri saans lijiye.,Dr. Atul Madaan,0:40,High (Emotional Browse),autism parent emotional support,Take a Deep Breath,Share this with an exhausted mother,Native Studio Shoot,"Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems",Approved,Scheduled
2026-11-09,YouTube Short (Gappu & Dolly Animated),"Animated Empathy: Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems",Gappu Ko Mixer Ki Awaaz Itni Loud Kyun Lagi? #GappuDolly #sensoryprocessingdisorderhindi,"Dolly, jab mixer chalti hai toh Kabir kaan kyu band kar leta hai?",Gappu & Dolly (Animated),0:35,High (Discovery),sensory processing disorder hindi,Mixer Se Darr Kyu?,Watch full video linked below,N/A (Native),"Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems",Approved,Scheduled
2026-11-10,YouTube Short (Tactical Doctor/Therapist),"Quick Insight: Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems",Speech Delay vs Autism: 1 Simple Observation Jo 90% Parents Miss Karte Hain! #Shorts,"Agar aapka 2 saal ka bachha bolta nahi hai, toh sabse pehle ye ek cheez check kijiye...",Dr. Atul Madaan,0:42,High (Shorts Feed),sensory processing disorder hindi,Missed Sign!,Full explanation in linked video,Extracted from Long-Form,"Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems",Approved,Scheduled
2026-11-11,Long-Form Video (Masterclass),"Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems","Sensory Issues ya Autism? Vestibular, Proprioceptive & Tactile Systems | Complete Guide by Dr. Atul Madaan","Kyu autistic bachhe shor, light aur kapdon ke tags se itna overwhelm hote hain?",Dr. Atul Madaan & Lead OT,15:10,High (Search),sensory processing disorder hindi,Sensory Overload Decoded,"Visit our Sensory Gyms in Delhi, Faridabad, Ludhiana","Short-07, Short-08, Short-09",Self (Anchor),Approved,Scheduled
2026-11-12,YouTube Short (Parent Q&A),Parent FAQ: Stimming in Autism,Kya Hand Flapping Ko Rokna Chahiye? Doctor Explains #Shorts #AutismIndia,"Parent ne pucha: 'Sir, mera beta khushi me hath hilata hai, kya ye normal hai?'",Dr. Atul Madaan,0:38,Medium (Shorts),hand flapping in autism,Stop Flapping?,Subscribe & watch related masterclass,Extracted from Long-Form,"Stimming in Autism: Hand Flapping, Rocking & Tapping Kyu Hota Hai?",Approved,Scheduled
2026-11-13,YouTube Short (Therapist Demonstration),Sensory Gym / OT Demonstration,Inside Our East of Kailash Sensory Gym: Swings Therapy Kyu Hoti Hain? #Shorts,Ye platform swing playground ka jhoola nahi hai... ye inner ear balance exercise hai!,Lead Occupational Therapist (Autism Alliance),0:45,High (Visual),occupational therapy sensory gym,Sensory Gym Secret,"Visit Delhi, Faridabad, Ludhiana centres",Native Clinic Shoot,"Stimming in Autism: Hand Flapping, Rocking & Tapping Kyu Hota Hai?",Approved,Scheduled
2026-11-14,Podcast / In-Depth Conversation,Autism Alliance Podcast Series,"Living with Autism in India: School Admissions, Therapy Costs & Grandparents | Dr. Atul Madaan Ep 5",Ek aam Indian family autism diagnosis ke baad pehle 6 mahine me kin mushkilon se guzarti hai?,Dr. Atul Madaan with Guest Senior Paediatrician,32:15,High (Browse / Authority),autism podcast india,The Real Struggle,Comment your biggest challenge below,"Podcast Short 1, 2, 3",Self (Anchor),Approved,Scheduled
2026-11-15,YouTube Live (Parent Interactive Q&A),Live Parent Clinic & Consultation,"Live Sunday Clinic: Ask Dr. Atul Madaan Anything on Speech, Behavior & Meltdowns (Live Q&A Ep 10)",Aaj sham 5 baje live judein aur apne bachhe ke behavioral challenges par seedha consult karein.,Dr. Atul Madaan,55:00,High (Community / Live),autism live question answer,LIVE Q&A with Dr. Atul,Ask your question in Live Chat / Super Chat,Live Clips 1 & 2,Self (Anchor),Approved,Scheduled
2026-11-16,YouTube Short (Gappu & Dolly Animated),Animated Empathy: Stimming in Autism,Gappu Ko Mixer Ki Awaaz Itni Loud Kyun Lagi? #GappuDolly #stimminginautismhindi,"Dolly, jab mixer chalti hai toh Kabir kaan kyu band kar leta hai?",Gappu & Dolly (Animated),0:35,High (Discovery),stimming in autism hindi,Mixer Se Darr Kyu?,Watch full video linked below,N/A (Native),"Stimming in Autism: Hand Flapping, Rocking & Tapping Kyu Hota Hai?",Approved,Scheduled
2026-11-17,YouTube Short (Tactical Doctor/Therapist),Quick Insight: Stimming in Autism,Speech Delay vs Autism: 1 Simple Observation Jo 90% Parents Miss Karte Hain! #Shorts,"Agar aapka 2 saal ka bachha bolta nahi hai, toh sabse pehle ye ek cheez check kijiye...",Dr. Atul Madaan,0:42,High (Shorts Feed),stimming in autism hindi,Missed Sign!,Full explanation in linked video,Extracted from Long-Form,"Stimming in Autism: Hand Flapping, Rocking & Tapping Kyu Hota Hai?",Approved,Scheduled
2026-11-18,Long-Form Video (Masterclass),"Stimming in Autism: Hand Flapping, Rocking & Tapping Kyu Hota Hai?","Stimming in Autism: Hand Flapping, Rocking & Tapping Kyu Hota Hai? | Complete Guide by Dr. Atul Madaan",Stimming ko rokna chahiye ya encourage karna chahiye? Samjhiye nervous system ka role.,Dr. Atul Madaan,13:50,High (Browse),stimming in autism hindi,Stop Stopping Stims!,Save this guide for family members,"Short-10, Short-11, Short-12",Self (Anchor),Approved,Scheduled
2026-11-19,YouTube Short (Parent Q&A),Parent FAQ: Echolalia & Gestalt Language,Kya Hand Flapping Ko Rokna Chahiye? Doctor Explains #Shorts #AutismIndia,"Parent ne pucha: 'Sir, mera beta khushi me hath hilata hai, kya ye normal hai?'",Dr. Atul Madaan,0:38,Medium (Shorts),hand flapping in autism,Stop Flapping?,Subscribe & watch related masterclass,Extracted from Long-Form,Echolalia & Gestalt Language: Cartoon Dialogues Repeat Kyu Karte Hain?,Approved,Scheduled
2026-11-20,YouTube Short (Therapist Demonstration),Sensory Gym / OT Demonstration,Inside Our East of Kailash Sensory Gym: Swings Therapy Kyu Hoti Hain? #Shorts,Ye platform swing playground ka jhoola nahi hai... ye inner ear balance exercise hai!,Lead Occupational Therapist (Autism Alliance),0:45,High (Visual),occupational therapy sensory gym,Sensory Gym Secret,"Visit Delhi, Faridabad, Ludhiana centres",Native Clinic Shoot,Echolalia & Gestalt Language: Cartoon Dialogues Repeat Kyu Karte Hain?,Approved,Scheduled
2026-11-21,Long-Form Video (Clinical Deep Dive),Echolalia & Gestalt Language: Cartoon Dialogues Repeat Kyu Karte Hain?,Echolalia & Gestalt Language: Cartoon Dialogues Repeat Kyu Karte Hain? | Autism Alliance India,Bachha cartoon dialogues bolta hai lekin 'Mamma' nahi kehta: Kya ye meaningful speech hai?,Dr. Atul Madaan & Lead SLP,15:30,High (Search),echolalia in autism hindi,Scripting Is Speech!,DM 'GESTALT' for language guide,"Short-13, Short-14, Short-15",Self (Anchor),Approved,Scheduled
2026-11-22,YouTube Short (Sunday Parent Empathy),Parent Motivation & Emotional Reassurance,To The Mother Comparing Growth Charts at the Park... Listen To This #Shorts #AutismParenting,Park me dusre bachhon ko dekh kar agar aapka dil baith jaata hai... toh ek gehri saans lijiye.,Dr. Atul Madaan,0:40,High (Emotional Browse),autism parent emotional support,Take a Deep Breath,Share this with an exhausted mother,Native Studio Shoot,"Self-Hitting, Head Banging & Aggression: Parents Kaise Respond Karein?",Approved,Scheduled
2026-11-23,YouTube Short (Gappu & Dolly Animated),"Animated Empathy: Self-Hitting, Head Banging & Aggression",Gappu Ko Mixer Ki Awaaz Itni Loud Kyun Lagi? #GappuDolly #autismselfhittingsolutions,"Dolly, jab mixer chalti hai toh Kabir kaan kyu band kar leta hai?",Gappu & Dolly (Animated),0:35,High (Discovery),autism self hitting solutions,Mixer Se Darr Kyu?,Watch full video linked below,N/A (Native),"Self-Hitting, Head Banging & Aggression: Parents Kaise Respond Karein?",Approved,Scheduled
2026-11-24,YouTube Short (Tactical Doctor/Therapist),"Quick Insight: Self-Hitting, Head Banging & Aggression",Speech Delay vs Autism: 1 Simple Observation Jo 90% Parents Miss Karte Hain! #Shorts,"Agar aapka 2 saal ka bachha bolta nahi hai, toh sabse pehle ye ek cheez check kijiye...",Dr. Atul Madaan,0:42,High (Shorts Feed),autism self hitting solutions,Missed Sign!,Full explanation in linked video,Extracted from Long-Form,"Self-Hitting, Head Banging & Aggression: Parents Kaise Respond Karein?",Approved,Scheduled
2026-11-25,Long-Form Video (Masterclass),"Self-Hitting, Head Banging & Aggression: Parents Kaise Respond Karein?","Self-Hitting, Head Banging & Aggression: Parents Kaise Respond Karein? | Complete Guide by Dr. Atul Madaan","Jab bachha gusse me khud ko maarta hai, toh daantne ki jagah clinical step kya hai?",Dr. Atul Madaan,18:15,High (Urgent),autism self hitting solutions,Head Banging: Stop It Calmly,Call Autism Alliance Emergency Helpline,"Short-16, Short-17, Short-18",Self (Anchor),Approved,Scheduled
2026-11-26,YouTube Short (Parent Q&A),"Parent FAQ: Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Kya Hand Flapping Ko Rokna Chahiye? Doctor Explains #Shorts #AutismIndia,"Parent ne pucha: 'Sir, mera beta khushi me hath hilata hai, kya ye normal hai?'",Dr. Atul Madaan,0:38,Medium (Shorts),hand flapping in autism,Stop Flapping?,Subscribe & watch related masterclass,Extracted from Long-Form,"Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Approved,Scheduled
2026-11-27,YouTube Short (Therapist Demonstration),Sensory Gym / OT Demonstration,Inside Our East of Kailash Sensory Gym: Swings Therapy Kyu Hoti Hain? #Shorts,Ye platform swing playground ka jhoola nahi hai... ye inner ear balance exercise hai!,Lead Occupational Therapist (Autism Alliance),0:45,High (Visual),occupational therapy sensory gym,Sensory Gym Secret,"Visit Delhi, Faridabad, Ludhiana centres",Native Clinic Shoot,"Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Approved,Scheduled
2026-11-28,Podcast / In-Depth Conversation,Autism Alliance Podcast Series,"Living with Autism in India: School Admissions, Therapy Costs & Grandparents | Dr. Atul Madaan Ep 6",Ek aam Indian family autism diagnosis ke baad pehle 6 mahine me kin mushkilon se guzarti hai?,Dr. Atul Madaan with Guest Senior Paediatrician,32:15,High (Browse / Authority),autism podcast india,The Real Struggle,Comment your biggest challenge below,"Podcast Short 1, 2, 3",Self (Anchor),Approved,Scheduled
2026-11-29,YouTube Live (Parent Interactive Q&A),Live Parent Clinic & Consultation,"Live Sunday Clinic: Ask Dr. Atul Madaan Anything on Speech, Behavior & Meltdowns (Live Q&A Ep 12)",Aaj sham 5 baje live judein aur apne bachhe ke behavioral challenges par seedha consult karein.,Dr. Atul Madaan,55:00,High (Community / Live),autism live question answer,LIVE Q&A with Dr. Atul,Ask your question in Live Chat / Super Chat,Live Clips 1 & 2,Self (Anchor),Approved,Scheduled
2026-11-30,YouTube Short (Gappu & Dolly Animated),"Animated Empathy: Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Gappu Ko Mixer Ki Awaaz Itni Loud Kyun Lagi? #GappuDolly #autismvsadhdfarakhindi,"Dolly, jab mixer chalti hai toh Kabir kaan kyu band kar leta hai?",Gappu & Dolly (Animated),0:35,High (Discovery),autism vs adhd farak hindi,Mixer Se Darr Kyu?,Watch full video linked below,N/A (Native),"Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Approved,Scheduled
2026-12-01,YouTube Short (Tactical Doctor/Therapist),"Quick Insight: Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Speech Delay vs Autism: 1 Simple Observation Jo 90% Parents Miss Karte Hain! #Shorts,"Agar aapka 2 saal ka bachha bolta nahi hai, toh sabse pehle ye ek cheez check kijiye...",Dr. Atul Madaan,0:42,High (Shorts Feed),autism vs adhd farak hindi,Missed Sign!,Full explanation in linked video,Extracted from Long-Form,"Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide",Approved,Scheduled
2026-12-02,Long-Form Video (Masterclass),"Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide","Autism or ADHD? Signs, Overlaps & Farak | Complete Diagnosis Guide | Complete Guide by Dr. Atul Madaan",Hyperactive bachha restless hai ya sensory seeking? Autism aur ADHD ka clear farak.,Dr. Atul Madaan,16:00,High (Search),autism vs adhd farak hindi,Autism OR ADHD?,Take our early developmental screening,"Short-19, Short-20, Short-21",Self (Anchor),Approved,Scheduled
2026-12-03,YouTube Short (Parent Q&A),Parent FAQ: Why 'Wait and Watch' Fails,Kya Hand Flapping Ko Rokna Chahiye? Doctor Explains #Shorts #AutismIndia,"Parent ne pucha: 'Sir, mera beta khushi me hath hilata hai, kya ye normal hai?'",Dr. Atul Madaan,0:38,Medium (Shorts),hand flapping in autism,Stop Flapping?,Subscribe & watch related masterclass,Extracted from Long-Form,Why 'Wait and Watch' Fails: The 18M to 4Y Golden Early Intervention Window,Approved,Scheduled
2026-12-04,YouTube Short (Therapist Demonstration),Sensory Gym / OT Demonstration,Inside Our East of Kailash Sensory Gym: Swings Therapy Kyu Hoti Hain? #Shorts,Ye platform swing playground ka jhoola nahi hai... ye inner ear balance exercise hai!,Lead Occupational Therapist (Autism Alliance),0:45,High (Visual),occupational therapy sensory gym,Sensory Gym Secret,"Visit Delhi, Faridabad, Ludhiana centres",Native Clinic Shoot,Why 'Wait and Watch' Fails: The 18M to 4Y Golden Early Intervention Window,Approved,Scheduled
2026-12-05,Long-Form Video (Clinical Deep Dive),Why 'Wait and Watch' Fails: The 18M to 4Y Golden Early Intervention Window,Why 'Wait and Watch' Fails: The 18M to 4Y Golden Early Intervention Window | Autism Alliance India,"Jab log kahein 'wait karo, ladke der se bolte hain', toh kitna bada risk ho sakta hai?",Dr. Atul Madaan,14:40,High (Browse),early intervention autism benefits,Don't Wait Till Age 5,Download Milestone Checklist,"Short-22, Short-23, Short-24",Self (Anchor),Approved,Scheduled
